CODIGO_PRODUTO;PRODUTO_DESCRICAO;CATEGORIA_PRODUTO;TIPO_EMBALAGEM_PRODUTO_SIGLA;UNIDADE
--------------;-----------------;-----------------;----------------------------;-------
284;VISCONTI PANETTONE ALPINO ORIGINAL;PRODUTOS DE NATAL PANETONES;LTA;400GR
458;VISCONTI PANETTONE C/ FRUTAS ;PRODUTOS DE NATAL PANETONES;CXA;750GR
662;BAUDUCCO PANETTONE PANDORO SEM FRUTAS ;PRODUTOS DE NATAL PANETONES;CXA;500GR
749;BAUDUCCO PANETTONE C/ FRUTAS ;PRODUTOS DE NATAL PANETONES;CXA;750GR
1324;BAUDUCCO CHOCOTTONE;PRODUTOS DE NATAL PANETONES;LTA;750GR
1725;BAUDUCCO PANETTONE  SPECIALE AMENDOÃ;PRODUTOS DE NATAL PANETONES;CXA;500GR
5056;GAROTO  PANETTONE  CHURROS E DOCE LEITE;PRODUTOS DE NATAL PANETONES;CXA;400GR
203288;NINO PANETTONE C/ FRUTAS;PRODUTOS DE NATAL PANETONES;CXA;500GR
203289;NINO PANETTONE GOTAS DE CHOCOLATE;PRODUTOS DE NATAL PANETONES;CXA;500GR
203290;TOMMY PANETTONE;PRODUTOS DE NATAL PANETONES;CXA;400GR
203291;TOMMY  PANETTONE C/ GOTAS DE CHOCOLATE;PRODUTOS DE NATAL PANETONES;CXA;400GR
203292;PARATI PANETTONE C/ FRUTAS ;PRODUTOS DE NATAL PANETONES;PCT;500GR
203293;PARATI PANETTONE C/ GOTAS DE CHOCOLATE;PRODUTOS DE NATAL PANETONES;CXA;450GR
203294;PARATI CHOCOTTONE  BRIGADEIRO;PRODUTOS DE NATAL PANETONES;PCT;450GR
203295;ARCOR PANETTONE C/ FRUTAS;PRODUTOS DE NATAL PANETONES;CXA;500GR
203296;ARCOR PANETTONE C/ GOTAS DE CHOCOLATE;PRODUTOS DE NATAL PANETONES;CXA;500GR
203297;ARCOR PANETTONE TRUFA/ALFAJOR/PETIT GATEAU;PRODUTOS DE NATAL PANETONES;CXA;530GR
203298;ARCOR PANETTONE PREMIUM;PRODUTOS DE NATAL PANETONES;CXA;530GR
203299;ARCOR PANETTONE SONHO/DOCE DE LEITE;PRODUTOS DE NATAL PANETONES;CXA;530GR
203300;ARCOR PANETTONE SONHO;PRODUTOS DE NATAL PANETONES;CXA;530GR
203301;LOWÇUCAR PANETTONE C/ FRUTAS ZERO;PRODUTOS DE NATAL PANETONES;CXA;400GR
203302;LOWÇUCAR PANETTONE  C/ GOTAS DE CHOCOLATE ZERO;PRODUTOS DE NATAL PANETONES;CXA;400GR
203303;SANTA EDWIGES PANETTONE C/ GOTAS DE CHOCOLATE;PRODUTOS DE NATAL PANETONES;LTA;400GR
203304;SANTA EDWIGES PANETTONE C/ FRUTAS;PRODUTOS DE NATAL PANETONES;LTA;400GR
203305;SANTA EDWIGES GOTAS BELGA;PRODUTOS DE NATAL PANETONES;CXA;500GR
203306;SANTA EDWIGES PANETTONE C/ FRUTAS ESPECIAIS;PRODUTOS DE NATAL PANETONES;CXA;400GR
203307;SANTA EDWIGES BRIG/TRUFA/DOCE LEITE;PRODUTOS DE NATAL PANETONES;CXA;500GR
203308;SANTA EDWIGES PANETTONE C/ GOTAS  BELGAS;PRODUTOS DE NATAL PANETONES;CXA;1KG
203309;SANTA EDWIGES PANETTONE C/ FRUTAS ESPECIAIS;PRODUTOS DE NATAL PANETONES;CXA;1KG
203310;SANTA EDWIGES PANETTONE C/ FRUTAS PREMIUM;PRODUTOS DE NATAL PANETONES;CXA;400GR
