CODIGO_PRODUTO;PRODUTO_DESCRICAO;CATEGORIA_PRODUTO;TIPO_EMBALAGEM_PRODUTO_SIGLA;UNIDADE
1;Adocante   ( + Barato );CONFEITARIA E PANIFICACAO;FRA;100ML
2;Adocante Em Po/ Acucar Light;CONFEITARIA E PANIFICACAO;PCT;500GR
3;Acucar Cristal     ( + Barato );CONFEITARIA E PANIFICACAO;PCT;5KG
4;Acucar Refinado  ( + Barato );CONFEITARIA E PANIFICACAO;PCT;1KG
5;Acucar Refinado "Caravelas";CONFEITARIA E PANIFICACAO;PCT;5KG
6;ACUCAR REFINADO "ALTO ALEGRE";CONFEITARIA E PANIFICACAO;PCT;5KG
7;Acucar Refinado "Uniao";CONFEITARIA E PANIFICACAO;PCT;5KG
8;Acucar Refinado   ( + Barato );CONFEITARIA E PANIFICACAO;PCT;5KG
9;Amido de Milho "Maizena";CONFEITARIA E PANIFICACAO;CXA;500GR
10;Amido de Milho   ( + Barato );CONFEITARIA E PANIFICACAO;PCT;450GR
11;Farinha de Trigo Especial  (+ Barato);CONFEITARIA E PANIFICACAO;PCT;1KG
12;Farinha de Trigo Especial "Anaconda";CONFEITARIA E PANIFICACAO;PCT;5KG
13;Farinha de Trigo Especial   ( + Barato );CONFEITARIA E PANIFICACAO;PCT;5KG
14;Farinha de Trigo Integral   ( + Barato );CONFEITARIA E PANIFICACAO;PCT;1KG
15;Fermento em Po Quimico   ( + Barato );CONFEITARIA E PANIFICACAO;LTA;100GR
16;Fermento Seco Biologico "Alto Vacuo";CONFEITARIA E PANIFICACAO;PCT;125GR
17;Mistura P/ Pao Integral ( + Barato );CONFEITARIA E PANIFICACAO;PCT;1KG
18;Mistura para Bolo  ( + Barato );CONFEITARIA E PANIFICACAO;CXA;450GR
19;Pao Frances;CONFEITARIA E PANIFICACAO;GRA;1KG
30;Arroz Branco Tipo 1  "Buriti";CEREAIS;PCT;5KG
31;Arroz Branco Tipo 1  "Prato Fino";CEREAIS;PCT;5KG
32;Arroz Branco Tipo 1  "Tio Joao";CEREAIS;PCT;5KG
33;Arroz Branco Tipo 1  "Tio Urbano";CEREAIS;PCT;5KG
34;Arroz Branco Tipo 1   ( + Barato );CEREAIS;PCT;5KG
35;Arroz Parboilizado Tipo 1   ( + Barato );CEREAIS;PCT;1KG
36;Arroz Parboilizado Tipo 1  "Buriti";CEREAIS;PCT;5KG
37;Arroz Parboilizado Tipo 1  "Prato Fino";CEREAIS;PCT;5KG
